"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.158267155E2,6.504665862E1,2.543177251E1,1.624357048E-2,7.844349803E-1,2.002011509E2,3.392626510E0,4.095585309E0
1.168267056E2,6.504664319E1,2.543177468E1,2.718056282E-1,1.130745144E0,1.917977021E2,3.322995172E0,4.032998106E0
1.178266963E2,6.504663155E1,2.543178345E1,5.265012290E-1,1.064838695E0,1.821919983E2,3.399974026E0,3.980734355E0
1.188266876E2,6.504662304E1,2.543178321E1,6.650714371E-1,9.738426958E-1,1.803019544E2,3.365869545E0,3.575530316E0
1.198266777E2,6.504661219E1,2.543179023E1,1.148998671E0,8.834787502E-1,1.775479733E2,3.385897623E0,3.323244707E0
1.208266692E2,6.504661155E1,2.543179025E1,1.741555718E0,2.716708883E-1,1.924191304E2,3.372942040E0,3.561089570E0
1.218266592E2,6.504661309E1,2.543178637E1,2.063345978E0,1.632014690E-1,1.924191275E2,3.442714836E0,3.628173263E0
1.228266500E2,6.504660570E1,2.543179335E1,2.479253345E0,1.879547351E-1,1.850530583E2,3.480675387E0,3.635679416E0
1.238266412E2,6.504658289E1,2.543179571E1,2.535199095E0,8.829541148E-1,1.941060209E2,3.496048697E0,3.875127064E0
1.248266323E2,6.504656480E1,2.543180187E1,2.897047833E0,1.308221391E0,1.844302670E2,3.520744665E0,3.594587958E0
1.258266222E2,6.504655068E1,2.543179631E1,3.498062102E0,1.499739085E0,1.876564398E2,3.630830084E0,3.027195381E0
1.268266131E2,6.504653600E1,2.543178996E1,3.590763153E0,1.503654942E0,1.905475251E2,3.839478443E0,3.169254925E0
1.278266041E2,6.504652080E1,2.543178593E1,3.752278786E0,1.572020488E0,1.904441374E2,3.813341067E0,3.000000000E0
1.288265952E2,6.504650640E1,2.543178059E1,3.569465956E0,1.591123222E0,1.916588339E2,3.860106567E0,3.000000000E0
1.298265858E2,6.504650224E1,2.543177292E1,3.400411437E0,1.162518178E0,1.971996775E2,3.904533791E0,3.000000000E0
1.308265761E2,6.504649899E1,2.543177107E1,3.420231001E0,7.600147514E-1,1.993658306E2,4.467175030E0,3.000000000E0
1.318265669E2,6.504649805E1,2.543185072E1,3.661939630E0,5.230250729E-1,1.310937178E2,3.986835267E0,3.000000000E0
1.328265576E2,6.504648019E1,2.543186198E1,3.486156648E0,5.822786230E-1,1.716795949E2,4.047115185E0,3.000000000E0
1.338276566E2,6.504645462E1,2.543185158E1,2.547075996E0,8.326217567E-1,1.899565830E2,4.017626822E0,3.000000000E0
1.348276613E2,6.504643757E1,2.543185102E1,2.547753908E0,1.207007263E0,1.879366311E2,3.932020415E0,3.125157758E0
1.358276478E2,6.504641397E1,2.543186481E1,3.179458791E0,1.224356947E0,1.798995140E2,3.835419385E0,3.131469222E0
1.368276498E2,6.504640426E1,2.543189517E1,2.955752121E0,1.004141471E0,1.586307082E2,3.785262995E0,3.095521575E0
1.378276494E2,6.504638878E1,2.543192255E1,3.280686487E0,1.350963868E0,1.473894274E2,3.819674802E0,3.170545363E0
1.388276347E2,6.504637673E1,2.543194592E1,3.500706909E0,1.443173161E0,1.421394148E2,3.806264003E0,3.388380623E0
1.398276353E2,6.504636944E1,2.543197107E1,3.836637683E0,1.370483515E0,1.294428199E2,3.792558642E0,3.499678245E0
1.408276333E2,6.504637059E1,2.543200820E1,4.723880284E0,1.385086365E0,1.130727732E2,3.830618611E0,3.470624502E0
1.418276173E2,6.504637429E1,2.543204246E1,4.536386586E0,1.452609376E0,1.010435284E2,3.869825469E0,3.628509978E0
1.428276175E2,6.504638430E1,2.543207161E1,4.578955159E0,1.471786169E0,8.840318506E1,3.903018282E0,3.713294981E0
1.438276188E2,6.504638893E1,2.543210232E1,4.775144991E0,1.472245201E0,8.196615269E1,3.879791838E0,3.591014097E0
1.448276041E2,6.504639023E1,2.543213037E1,4.693697008E0,1.359617551E0,8.279396744E1,3.950996482E0,3.573235870E0
1.458276014E2,6.504639381E1,2.543215475E1,4.758926186E0,1.258611733E0,7.944426395E1,3.958070581E0,3.584908304E0
1.468276038E2,6.504640726E1,2.543218915E1,5.142523425E0,1.421581821E0,7.277038847E1,3.944841186E0,3.501717280E0
