"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.984742542E0,8.445482938E-1,-1.746107817E0,6.645559394E-1
1.994675542E0,7.147950701E-1,-1.056648002E0,8.304800391E-1
2.004608542E0,7.630840082E-1,-4.173467714E-1,6.397764628E-1
2.014540542E0,8.881413330E-1,2.259703267E-1,3.064133960E-1
2.024473542E0,1.009597358E0,8.284200650E-1,-1.837341338E-1
2.034406542E0,1.146275293E0,1.481531249E0,-5.703860928E-1
2.044339542E0,1.324395953E0,2.233159831E0,-6.424920559E-1
2.054271542E0,1.323704081E0,2.860722191E0,-9.697811812E-2
2.064204542E0,1.147149890E0,3.323942708E0,9.904983048E-1
2.074137542E0,1.033984486E0,3.721765042E0,1.960306383E0
2.084070542E0,9.562866846E-1,4.169079378E0,1.985735924E0
2.094002542E0,5.536165341E-1,4.530449585E0,9.701524794E-1
2.103935542E0,2.749474090E-2,4.741099622E0,-5.565040720E-1
2.113868542E0,-1.100759543E-1,4.968901881E0,-1.797396523E0
2.123801542E0,3.834129304E-1,5.579482757E0,-2.219922758E0
2.133733542E0,8.308495831E-1,6.125920848E0,-1.666664768E0
2.143666542E0,4.624703558E-1,6.289765093E0,-2.060447699E-1
2.153599542E0,-5.163131621E-1,6.124185979E0,1.887756616E0
2.163532542E0,-1.421963471E0,5.747850409E0,3.707986078E0
2.173464542E0,-2.156056984E0,5.010719413E0,4.629349390E0
2.183397542E0,-2.284348696E0,4.054364609E0,4.964080852E0
2.193330542E0,-1.839420316E0,2.882344610E0,4.744856165E0
2.203263542E0,-1.116796993E0,1.715882390E0,4.157581413E0
2.213195542E0,-7.005972265E-1,4.457426047E-1,3.758752189E0
2.223128542E0,-5.858227787E-1,-7.431284845E-1,3.236808085E0
2.233061542E0,-7.107510627E-1,-1.880681486E0,2.414234651E0
2.242994542E0,-8.220738626E-1,-2.711484876E0,1.399014757E0
2.252926542E0,-9.704225477E-1,-3.220876177E0,2.599847496E-1
2.262859542E0,-1.164494047E0,-3.345293816E0,-8.831570933E-1
2.272792542E0,-1.449052744E0,-3.314832162E0,-1.555197980E0
2.282724542E0,-1.646586014E0,-3.102390538E0,-1.768782735E0
2.292657542E0,-1.677633998E0,-2.832617549E0,-1.857603110E0
2.302590542E0,-1.522604869E0,-2.603758698E0,-1.778303318E0
2.312523542E0,-1.184119276E0,-2.419605319E0,-1.311429314E0
2.322455542E0,-7.040044722E-1,-2.289788361E0,-7.426086670E-1
2.332388542E0,-2.142215893E-1,-2.267365458E0,-2.628210877E-1
2.342321542E0,2.320774145E-1,-2.404209600E0,6.484262489E-2
2.352254542E0,5.778337645E-1,-2.623127600E0,1.187188699E-1
2.362186542E0,7.835923862E-1,-2.930235060E0,2.509683430E-2
2.372119542E0,8.620719606E-1,-3.222543803E0,-3.824239835E-2
2.382052542E0,7.635146557E-1,-3.418299812E0,8.843445897E-2
2.391985542E0,6.509064916E-1,-3.539506745E0,7.305496618E-2
2.401917542E0,6.888875194E-1,-3.583257367E0,-4.355006218E-3
2.411850542E0,5.977922484E-1,-3.544352333E0,1.009258658E-1
2.421783542E0,5.890854519E-1,-3.417777656E0,3.567386270E-2
2.431716542E0,7.540965454E-1,-3.290148141E0,-8.571608841E-2
2.441648542E0,9.773471859E-1,-3.164300272E0,-1.935812835E-1
2.451581542E0,1.129247762E0,-3.082429313E0,-3.596949792E-1
2.461514542E0,1.090029171E0,-3.058788435E0,-5.803460938E-1
2.471447542E0,1.074146087E0,-3.008606461E0,-8.607352871E-1
2.481379542E0,1.086265172E0,-2.807562230E0,-1.125447072E0
2.491312542E0,1.021324533E0,-2.430996864E0,-1.459596589E0
2.501245542E0,6.683238852E-1,-1.967996787E0,-1.699749922E0
2.511178542E0,5.990262302E-2,-1.394039946E0,-1.790045696E0
2.521110542E0,-4.822049645E-1,-7.967170465E-1,-2.005276003E0
2.531043542E0,-7.212237183E-1,-2.677445894E-1,-2.132180317E0
2.540976542E0,-6.589101604E-1,8.299362481E-2,-2.029926987E0
2.550909542E0,-4.105557786E-1,4.580743825E-1,-1.743180116E0
2.560841542E0,-2.446083996E-1,8.003388119E-1,-1.212682267E0
2.570774542E0,-1.899089763E-1,1.246070892E0,-5.737866873E-1
2.580707542E0,-1.415451756E-1,1.833140114E0,-3.720793819E-1
2.590639542E0,-7.201211527E-2,2.493764970E0,-5.503336515E-1
2.600572542E0,-3.954555999E-1,3.089378144E0,-8.923014808E-1
2.610505542E0,-1.026592875E0,3.605383231E0,-1.128501511E0
2.620438542E0,-1.838361385E0,3.967879027E0,-1.335389888E0
2.630370542E0,-2.575234518E0,4.079974244E0,-1.654887160E0
2.640303542E0,-2.583203104E0,4.281393281E0,-2.325715992E0
2.650236542E0,-1.410665334E0,4.846607366E0,-2.959032013E0
2.660169542E0,1.708610135E-1,5.582933784E0,-2.677624819E0
2.670101542E0,1.043046647E0,6.277438577E0,-1.712538952E0
